#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG26268	2	2	Xu	REFSEQ hypothetical protein
VOG26269	2	2	Xu	REFSEQ hypothetical protein
VOG26270	2	2	Xu	REFSEQ hypothetical protein
VOG26271	2	2	Xu	REFSEQ hypothetical protein
VOG26272	2	2	Xu	REFSEQ hypothetical protein
VOG26273	2	2	Xu	REFSEQ hypothetical protein
VOG26274	2	2	Xu	REFSEQ hypothetical protein
VOG26275	2	2	Xu	REFSEQ hypothetical protein
VOG26276	2	2	Xu	REFSEQ hypothetical protein
VOG26277	2	2	Xu	REFSEQ hypothetical protein
VOG26278	2	2	Xu	REFSEQ hypothetical protein
VOG26279	2	2	Xu	REFSEQ hypothetical protein
VOG26280	2	2	Xu	REFSEQ hypothetical protein
VOG26281	2	2	Xu	REFSEQ hypothetical protein
VOG26282	2	2	Xu	REFSEQ hypothetical protein
VOG26283	2	2	Xu	REFSEQ hypothetical protein
VOG26284	2	2	Xu	REFSEQ hypothetical protein
VOG26285	2	2	Xu	REFSEQ hypothetical protein
VOG26286	2	2	Xu	REFSEQ hypothetical protein
VOG26287	2	2	Xu	REFSEQ hypothetical protein
VOG26288	2	2	Xu	REFSEQ hypothetical protein
VOG26289	2	2	Xu	REFSEQ hypothetical protein
VOG26290	2	2	Xu	REFSEQ hypothetical protein
VOG26291	2	2	Xu	REFSEQ hypothetical protein
VOG26292	2	2	Xu	REFSEQ hypothetical protein
VOG26293	2	2	Xu	REFSEQ hypothetical protein
VOG26294	2	2	Xu	REFSEQ hypothetical protein
VOG26295	2	2	Xu	REFSEQ hypothetical protein
VOG26296	2	2	Xu	REFSEQ hypothetical protein
VOG26297	2	2	Xu	REFSEQ hypothetical protein
VOG26298	2	2	Xu	REFSEQ hypothetical protein
VOG26299	2	2	Xu	REFSEQ hypothetical protein
VOG26300	2	2	Xu	REFSEQ hypothetical protein
VOG26301	2	2	Xu	REFSEQ hypothetical protein
VOG26302	2	2	Xu	REFSEQ hypothetical protein
VOG26303	2	2	Xu	REFSEQ hypothetical protein
VOG26304	2	2	Xu	REFSEQ hypothetical protein
VOG26305	2	2	Xu	REFSEQ hypothetical protein
VOG26306	2	2	Xu	REFSEQ hypothetical protein
VOG26307	2	2	Xu	REFSEQ hypothetical protein
VOG26308	2	2	Xu	REFSEQ hypothetical protein
VOG26309	2	2	Xu	REFSEQ hypothetical protein
VOG26310	2	2	Xu	REFSEQ hypothetical protein
VOG26311	2	2	Xu	REFSEQ hypothetical protein
VOG26312	2	2	Xu	REFSEQ aI protein
VOG26313	2	2	Xu	REFSEQ ead/Ea22-like family protein
VOG26314	2	2	Xu	REFSEQ hypothetical protein
VOG26315	2	2	Xu	REFSEQ hypothetical protein
VOG26316	2	2	Xu	REFSEQ hypothetical protein
VOG26317	2	2	Xu	REFSEQ hypothetical protein
VOG26318	2	2	Xu	REFSEQ hypothetical protein
VOG26319	2	2	Xu	REFSEQ hypothetical protein
VOG26320	2	2	Xu	REFSEQ hypothetical protein
VOG26321	2	2	Xu	REFSEQ hypothetical protein
VOG26322	2	2	Xu	REFSEQ hypothetical protein
VOG26323	2	2	Xu	REFSEQ hypothetical protein
VOG26324	2	2	Xu	REFSEQ hypothetical protein
VOG26325	2	2	Xu	REFSEQ hypothetical protein
VOG26326	2	2	Xu	REFSEQ hypothetical protein
VOG26327	2	2	Xu	REFSEQ hypothetical protein
VOG26328	2	2	Xu	REFSEQ hypothetical protein
VOG26329	2	2	Xu	REFSEQ hypothetical protein
VOG26330	2	2	Xu	REFSEQ hypothetical protein
VOG26331	2	2	Xu	REFSEQ helix-turn-helix DNA binding protein
VOG26332	2	2	Xu	REFSEQ ACH96233.1 unknown protein
VOG26333	2	2	Xu	REFSEQ hypothetical protein
VOG26334	2	2	Xu	REFSEQ hypothetical protein
VOG26335	2	2	Xu	REFSEQ hypothetical protein
VOG26336	2	2	Xu	REFSEQ hypothetical protein
VOG26337	2	2	Xu	REFSEQ hypothetical protein
VOG26338	2	2	Xu	REFSEQ hypothetical protein
VOG26339	2	2	Xu	REFSEQ hypothetical protein
VOG26340	2	2	Xu	REFSEQ portal protein
VOG26341	2	2	Xu	REFSEQ hypothetical protein
VOG26342	2	2	XpXrXs	sp|Q6XQC4|TMP_BPT1 Tape measure protein
VOG26343	2	2	Xu	REFSEQ hypothetical protein
VOG26344	2	2	XhXp	sp|Q38156|DAM_BPT1 DNA N-6-adenine-methyltransferase
VOG26345	2	2	Xu	REFSEQ hypothetical protein
VOG26346	2	2	Xu	REFSEQ hypothetical protein
VOG26347	2	2	Xu	REFSEQ hypothetical protein
VOG26348	2	2	Xu	REFSEQ hypothetical protein
VOG26349	2	2	Xu	REFSEQ hypothetical protein
VOG26350	2	2	Xu	REFSEQ hypothetical protein
VOG26351	2	2	Xu	REFSEQ hypothetical protein
VOG26352	2	2	Xu	REFSEQ hypothetical protein
VOG26353	2	2	Xu	REFSEQ hypothetical protein
VOG26354	2	2	Xu	REFSEQ hypothetical protein
VOG26355	2	2	Xu	REFSEQ hypothetical protein
VOG26356	2	2	Xu	REFSEQ hypothetical protein
VOG26357	2	2	Xu	REFSEQ hypothetical protein
VOG26358	2	2	Xu	REFSEQ hypothetical protein
VOG26359	2	2	Xu	REFSEQ hypothetical protein
VOG26360	2	2	Xu	REFSEQ hypothetical protein
VOG26361	2	2	Xu	REFSEQ hypothetical protein
VOG26362	2	2	Xu	REFSEQ hypothetical protein
VOG26363	2	2	Xu	REFSEQ hypothetical protein
VOG26364	2	2	Xu	REFSEQ hypothetical protein
VOG26365	2	2	Xu	REFSEQ hypothetical protein
VOG26366	2	2	Xu	REFSEQ hypothetical protein
VOG26367	2	2	Xu	REFSEQ hypothetical protein
VOG26368	2	2	Xu	REFSEQ hypothetical protein
VOG26369	2	2	Xu	REFSEQ hypothetical protein
VOG26370	2	2	Xu	REFSEQ LO6
VOG26371	2	2	Xu	REFSEQ hypothetical protein
VOG26372	2	2	Xu	REFSEQ hypothetical protein
VOG26373	2	2	Xu	REFSEQ hypothetical protein
VOG26374	2	2	Xu	REFSEQ terminase small subunit
VOG26375	2	2	Xu	REFSEQ hypothetical protein
VOG26376	2	2	Xu	REFSEQ hypothetical protein
VOG26377	2	2	Xu	REFSEQ hypothetical protein
VOG26378	2	2	Xu	REFSEQ hypothetical protein
VOG26379	2	2	Xu	REFSEQ hypothetical protein
VOG26380	2	2	Xu	REFSEQ hypothetical protein
VOG26381	2	2	Xu	REFSEQ hypothetical protein
VOG26382	2	2	Xu	REFSEQ hypothetical protein
VOG26383	2	2	Xu	REFSEQ HTH DNA binding protein
VOG26384	2	2	Xu	REFSEQ hypothetical protein
VOG26385	2	2	Xu	REFSEQ hypothetical protein
VOG26386	2	2	Xu	REFSEQ hypothetical protein
VOG26387	2	2	Xu	REFSEQ hypothetical protein
VOG26388	2	2	Xu	REFSEQ hypothetical protein
VOG26389	2	2	Xu	REFSEQ hypothetical protein
VOG26390	2	2	Xu	REFSEQ hypothetical protein
VOG26391	2	2	Xu	REFSEQ hypothetical protein
VOG26392	2	2	Xu	REFSEQ hypothetical protein
VOG26393	2	2	Xu	REFSEQ major tail protein
VOG26394	2	2	Xu	REFSEQ tapemeasure
VOG26395	4	2	Xu	REFSEQ tail assembly chaperone
VOG26396	2	2	Xu	REFSEQ hypothetical protein
VOG26397	2	2	Xu	REFSEQ minor tail protein
VOG26398	2	2	Xu	REFSEQ hypothetical protein
VOG26399	2	2	Xu	REFSEQ hypothetical protein
VOG26400	2	2	Xu	REFSEQ hypothetical protein
VOG26401	2	2	Xu	REFSEQ hypothetical protein
VOG26402	2	2	Xu	REFSEQ hypothetical protein
VOG26403	2	2	Xu	REFSEQ hypothetical protein
VOG26404	2	2	Xu	REFSEQ hypothetical protein
VOG26405	2	2	Xu	REFSEQ hypothetical protein
VOG26406	2	2	Xu	REFSEQ RepA
VOG26407	2	2	Xu	REFSEQ hypothetical protein
VOG26408	2	2	Xu	REFSEQ hypothetical protein
VOG26409	2	2	Xu	REFSEQ hypothetical protein
VOG26410	2	2	Xu	REFSEQ hypothetical protein
VOG26411	2	2	Xu	REFSEQ hypothetical protein
VOG26412	2	2	Xu	REFSEQ hypothetical protein
VOG26413	2	2	Xu	REFSEQ hypothetical protein
VOG26414	2	2	XhXs	sp|Q5UQJ6|YR400_MIMIV Putative serine/threonine-protein kinase R400
VOG26415	2	2	Xu	REFSEQ hypothetical protein
VOG26416	2	2	Xu	REFSEQ hypothetical protein
VOG26417	2	2	Xu	REFSEQ hypothetical protein
VOG26418	2	2	Xu	REFSEQ hypothetical protein
VOG26419	2	2	Xu	REFSEQ hypothetical protein
VOG26420	2	2	Xu	REFSEQ hypothetical protein
VOG26421	4	2	Xu	REFSEQ hypothetical protein
VOG26422	2	2	Xu	REFSEQ hypothetical protein
VOG26423	2	2	Xu	REFSEQ hypothetical protein
VOG26424	2	2	Xu	REFSEQ hypothetical protein
VOG26425	2	2	Xu	REFSEQ hypothetical protein
VOG26426	2	2	Xu	REFSEQ hypothetical protein
VOG26427	2	2	Xu	REFSEQ hypothetical protein
VOG26428	2	2	Xu	REFSEQ membrane protein UL147A
VOG26429	2	2	Xu	REFSEQ hypothetical protein
VOG26430	2	2	Xu	REFSEQ hypothetical protein
VOG26431	2	2	Xu	REFSEQ hypothetical protein
VOG26432	2	2	Xu	REFSEQ hypothetical protein
VOG26433	2	2	Xu	REFSEQ hypothetical protein
VOG26434	2	2	Xu	REFSEQ hypothetical protein
VOG26435	2	2	Xu	REFSEQ hypothetical protein
VOG26436	2	2	Xu	REFSEQ tail fiber protein
VOG26437	3	2	Xu	REFSEQ hypothetical protein
VOG26438	2	2	Xu	REFSEQ hypothetical protein
VOG26439	2	2	Xu	REFSEQ hypothetical protein
VOG26440	2	2	Xu	REFSEQ hypothetical protein
VOG26441	2	2	Xu	REFSEQ hypothetical protein
VOG26442	2	2	Xu	REFSEQ hypothetical protein
VOG26443	2	2	Xu	REFSEQ hypothetical protein
VOG26444	2	2	Xu	REFSEQ hypothetical protein
VOG26445	2	2	Xu	REFSEQ hypothetical protein
VOG26446	2	2	Xu	REFSEQ hypothetical protein
VOG26447	2	2	Xu	REFSEQ hypothetical protein
VOG26448	2	2	Xu	REFSEQ hypothetical protein
VOG26449	2	2	Xu	REFSEQ hypothetical protein
VOG26450	2	2	Xu	REFSEQ hypothetical protein
VOG26451	2	2	Xu	REFSEQ hypothetical protein
VOG26452	2	2	Xu	REFSEQ hypothetical protein
VOG26453	2	2	Xu	REFSEQ hypothetical protein
VOG26454	2	2	Xu	REFSEQ hypothetical protein
VOG26455	2	2	Xu	REFSEQ hypothetical protein
VOG26456	2	2	Xu	REFSEQ hypothetical protein
VOG26457	2	2	Xu	REFSEQ hypothetical protein
VOG26458	2	2	Xu	REFSEQ hypothetical protein
VOG26459	2	2	Xu	REFSEQ hypothetical protein
VOG26460	2	2	Xu	REFSEQ hypothetical protein
VOG26461	2	2	Xu	REFSEQ hypothetical protein
VOG26462	2	2	Xu	REFSEQ hypothetical protein
VOG26463	2	2	Xu	REFSEQ hypothetical protein
VOG26464	2	2	Xu	REFSEQ hypothetical protein
VOG26465	2	2	Xu	REFSEQ hypothetical protein
VOG26466	2	2	Xu	REFSEQ hypothetical protein
VOG26467	2	2	Xu	REFSEQ hypothetical protein
VOG26468	2	2	Xu	REFSEQ hypothetical protein
VOG26469	2	2	Xu	REFSEQ RdRp
VOG26470	2	2	Xu	REFSEQ hypothetical protein
VOG26471	2	2	Xu	REFSEQ hypothetical protein
VOG26472	2	2	Xu	REFSEQ hypothetical protein
VOG26473	2	2	Xu	REFSEQ hypothetical protein
VOG26474	2	2	Xu	REFSEQ hypothetical protein
VOG26475	2	2	Xu	REFSEQ hypothetical protein
VOG26476	2	2	Xu	REFSEQ hypothetical protein
VOG26477	2	2	Xu	REFSEQ hypothetical protein
VOG26478	2	2	Xu	REFSEQ transcriptional regulator CtrA
VOG26479	2	2	Xu	REFSEQ hypothetical protein
VOG26480	2	2	Xu	REFSEQ hypothetical protein
VOG26481	2	2	Xu	REFSEQ ATPase
VOG26482	2	2	Xu	REFSEQ hypothetical protein
VOG26483	2	2	Xu	REFSEQ hypothetical protein
VOG26484	2	2	Xu	REFSEQ hypothetical protein
VOG26485	2	2	Xu	REFSEQ hypothetical protein
VOG26486	2	2	Xu	REFSEQ hypothetical protein
VOG26487	2	2	Xu	REFSEQ hypothetical protein
VOG26488	2	2	Xu	REFSEQ hypothetical protein
VOG26489	2	2	Xu	REFSEQ hypothetical protein
VOG26490	2	2	Xu	REFSEQ hypothetical protein
VOG26491	2	2	Xu	REFSEQ hypothetical protein
VOG26492	2	2	Xu	REFSEQ hypothetical protein
VOG26493	2	2	Xu	REFSEQ hypothetical protein
VOG26494	2	2	Xu	REFSEQ hypothetical protein
VOG26495	2	2	Xu	REFSEQ hypothetical protein
VOG26496	2	2	Xu	REFSEQ hypothetical protein
VOG26497	2	2	Xu	REFSEQ hypothetical protein
VOG26498	2	2	Xu	REFSEQ hypothetical protein
VOG26499	2	2	Xu	REFSEQ hypothetical protein
VOG26500	2	2	Xu	REFSEQ hypothetical protein
VOG26501	2	2	Xu	REFSEQ hypothetical protein
VOG26502	2	2	Xu	REFSEQ hypothetical protein
VOG26503	2	2	Xu	REFSEQ hypothetical protein
VOG26504	2	2	Xu	REFSEQ hypothetical protein
VOG26505	2	2	Xu	REFSEQ putative capsid protein
VOG26506	2	2	Xu	REFSEQ transmembrane domain protein
VOG26507	2	2	Xu	REFSEQ ORF_023R
VOG26508	2	2	Xu	REFSEQ ORF_028R
VOG26509	2	2	Xu	REFSEQ ORF_032L
VOG26510	2	2	Xu	REFSEQ ORF_031L
VOG26511	2	2	Xu	REFSEQ ORF008R
VOG26512	2	2	Xu	REFSEQ ORF016L
VOG26513	2	2	Xu	REFSEQ ORF015R
VOG26514	2	2	Xu	REFSEQ ORF_079R
VOG26515	2	2	Xu	REFSEQ ORF_084R
VOG26516	2	2	XhXr	sp|O55236|MCE1_MOUSE mRNA-capping enzyme
VOG26517	2	2	Xu	REFSEQ ORF082L
VOG26518	2	2	Xu	REFSEQ hypothetical protein
VOG26519	2	2	Xu	REFSEQ hypothetical protein
VOG26520	2	2	Xu	REFSEQ hypothetical protein
VOG26521	2	2	Xu	REFSEQ hypothetical protein
VOG26522	2	2	Xu	REFSEQ hypothetical protein
VOG26523	2	2	Xu	REFSEQ phage tail fiber protein
VOG26524	2	2	Xu	REFSEQ hypothetical protein
VOG26525	2	2	Xu	REFSEQ hypothetical protein
VOG26526	2	2	Xu	REFSEQ hypothetical protein
VOG26527	2	2	Xu	REFSEQ hypothetical protein
VOG26528	2	2	Xu	REFSEQ hypothetical protein
VOG26529	2	2	Xu	REFSEQ hypothetical protein
VOG26530	2	2	Xu	REFSEQ hypothetical protein
VOG26531	2	2	Xu	REFSEQ hypothetical protein
VOG26532	2	2	Xu	REFSEQ hypothetical protein
VOG26533	2	2	Xu	REFSEQ hypothetical protein
VOG26534	2	2	Xu	REFSEQ hypothetical protein
VOG26535	2	2	Xu	REFSEQ hypothetical protein
VOG26536	2	2	Xu	REFSEQ hypothetical protein
VOG26537	2	2	Xu	REFSEQ hypothetical protein
VOG26538	2	2	Xu	REFSEQ hypothetical protein
VOG26539	2	2	Xu	REFSEQ hypothetical protein
VOG26540	2	2	Xu	REFSEQ hypothetical protein
VOG26541	2	2	Xu	REFSEQ hypothetical protein
VOG26542	2	2	Xu	REFSEQ hypothetical protein
VOG26543	2	2	Xu	REFSEQ hypothetical protein
VOG26544	2	2	Xu	REFSEQ hypothetical protein
VOG26545	2	2	XhXp	sp|O64203|ENLYS_BPMD2 Endolysin A
VOG26546	2	2	Xu	REFSEQ hypothetical protein
VOG26547	2	2	Xu	REFSEQ Us2 homologue
VOG26548	2	2	Xu	REFSEQ membrane protein US9
VOG26549	2	2	Xu	REFSEQ membrane protein US8A
VOG26550	2	2	Xu	REFSEQ DNA replication protein
VOG26551	2	2	Xu	REFSEQ hypothetical protein
VOG26552	2	2	Xu	REFSEQ hypothetical protein
VOG26553	2	2	Xu	REFSEQ hypothetical protein
VOG26554	2	2	Xu	REFSEQ hypothetical protein
VOG26555	2	2	Xu	REFSEQ hypothetical protein
VOG26556	2	2	Xu	REFSEQ hypothetical protein
VOG26557	2	2	Xu	REFSEQ major structure protein
VOG26558	2	2	Xu	REFSEQ hypothetical protein
VOG26559	2	2	Xu	REFSEQ hypothetical protein
VOG26560	2	2	Xu	REFSEQ major structure protein
VOG26561	2	2	Xu	REFSEQ hypothetical protein
VOG26562	2	2	Xu	REFSEQ hypothetical protein
VOG26563	2	2	Xu	REFSEQ hypothetical protein
VOG26564	2	2	Xu	REFSEQ hypothetical protein
VOG26565	2	2	Xu	REFSEQ hypothetical protein
VOG26566	2	2	Xu	REFSEQ hypothetical protein
VOG26567	2	2	Xu	REFSEQ hypothetical protein
VOG26568	2	2	Xu	REFSEQ hypothetical protein
VOG26569	2	2	Xh	sp|P03199|BLLF2_EBVB9 Uncharacterized protein BLLF2
VOG26570	2	2	Xu	REFSEQ ECRF4
VOG26571	2	2	Xu	REFSEQ hypothetical protein
VOG26572	2	2	Xu	REFSEQ hypothetical protein
VOG26573	2	2	Xu	REFSEQ hypothetical protein
VOG26574	2	2	Xu	REFSEQ hypothetical protein
VOG26575	2	2	Xu	REFSEQ hypothetical protein
VOG26576	2	2	Xu	REFSEQ hypothetical protein
VOG26577	2	2	Xu	REFSEQ hypothetical protein
VOG26578	2	2	Xu	REFSEQ hypothetical protein
VOG26579	2	2	Xu	REFSEQ hypothetical protein
VOG26580	2	2	Xu	REFSEQ hypothetical protein
VOG26581	2	2	Xu	REFSEQ hypothetical protein
VOG26582	2	2	Xu	REFSEQ hypothetical protein
VOG26583	2	2	Xu	REFSEQ hypothetical protein
VOG26584	2	2	Xu	REFSEQ hypothetical protein
VOG26585	3	2	Xu	REFSEQ AbrB/MazE/SpoVT family DNA-binding domain-containing protein
VOG26586	2	2	Xu	REFSEQ ORF1C
VOG26587	2	2	Xu	REFSEQ ORF25
VOG26588	2	2	Xu	REFSEQ hypothetical protein
VOG26589	2	2	Xu	REFSEQ hypothetical protein
VOG26590	2	2	Xu	REFSEQ hypothetical protein
VOG26591	2	2	Xu	sp|A4ZU90|Y243_ABVP Uncharacterized protein ORF243
VOG26592	2	2	Xu	sp|A4ZU94|Y247_ABVP Uncharacterized protein ORF247
VOG26593	2	2	Xu	sp|A4ZU97|Y091B_ABVP Uncharacterized protein ORF91b
VOG26594	2	2	Xu	sp|A4ZUA6|Y063_ABVP Uncharacterized protein ORF63
VOG26595	2	2	Xu	sp|A4ZU99|Y056_ABVP Uncharacterized protein ORF56
VOG26596	2	2	Xu	REFSEQ hypothetical protein
VOG26597	2	2	Xu	sp|A4ZUB9|Y059_ABVP Uncharacterized protein ORF59
VOG26598	2	2	Xu	sp|A4ZUD5|Y057_ABVP Uncharacterized protein ORF57
VOG26599	2	2	Xu	sp|A4ZUD6|Y150A_ABVP Uncharacterized protein ORF150a
VOG26600	2	2	Xu	sp|A4ZUD7|Y158_ABVP Uncharacterized protein ORF158
VOG26601	2	2	Xu	sp|A4ZUE1|Y107A_ABVP Uncharacterized protein ORF107a
VOG26602	2	2	Xu	sp|A4ZUE2|Y133_ABVP Uncharacterized protein ORF133
VOG26603	2	2	Xu	REFSEQ hypothetical protein
VOG26604	2	2	Xu	REFSEQ hypothetical protein
VOG26605	2	2	Xu	REFSEQ conserved hypothetical protein
VOG26606	2	2	Xu	REFSEQ hypothetical protein
VOG26607	2	2	Xu	REFSEQ hypothetical protein
VOG26608	2	2	Xu	REFSEQ hypothetical protein
VOG26609	2	2	Xu	REFSEQ hypothetical protein
VOG26610	2	2	Xu	REFSEQ hypothetical protein
VOG26611	2	2	Xu	REFSEQ hypothetical protein
VOG26612	2	2	Xu	REFSEQ hypothetical protein
VOG26613	2	2	Xu	REFSEQ hypothetical protein
VOG26614	2	2	Xu	REFSEQ hypothetical protein
VOG26615	2	2	Xu	REFSEQ ORF 55
VOG26616	2	2	Xu	REFSEQ hypothetical protein
VOG26617	2	2	Xu	REFSEQ VP3
VOG26618	2	2	Xu	REFSEQ hypothetical protein
VOG26619	2	2	Xu	REFSEQ hypothetical protein
VOG26620	2	2	Xu	REFSEQ hypothetical protein
VOG26621	2	2	Xu	REFSEQ hypothetical protein
VOG26622	2	2	Xu	REFSEQ hypothetical protein
VOG26623	2	2	Xu	REFSEQ hypothetical protein
VOG26624	2	2	Xu	REFSEQ hypothetical protein
VOG26625	2	2	Xu	REFSEQ hypothetical protein
VOG26626	2	2	Xu	REFSEQ hypothetical protein
VOG26627	2	2	Xu	REFSEQ hypothetical protein
VOG26628	2	2	Xu	REFSEQ HK97 gp10 family protein
VOG26629	2	2	Xu	REFSEQ hypothetical protein
VOG26630	2	2	Xu	REFSEQ putative structural protein
VOG26631	2	2	Xu	REFSEQ hypothetical protein
VOG26632	2	2	Xu	REFSEQ putative tail protein
VOG26633	2	2	Xu	REFSEQ ATP/GTP-binding protein
VOG26634	2	2	Xu	REFSEQ hypothetical protein
VOG26635	2	2	Xu	REFSEQ hypothetical protein
VOG26636	2	2	Xu	REFSEQ hypothetical protein
VOG26637	2	2	Xu	REFSEQ hypothetical protein
VOG26638	2	2	Xu	REFSEQ hypothetical protein
VOG26639	2	2	Xu	REFSEQ PeiW
VOG26640	2	2	Xu	REFSEQ hypothetical protein
VOG26641	2	2	Xu	REFSEQ HNH endonuclease
VOG26642	2	2	Xu	REFSEQ head-tail connector protein
VOG26643	2	2	Xu	REFSEQ hypothetical protein
VOG26644	2	2	Xu	REFSEQ head closure protein
VOG26645	2	2	Xu	REFSEQ hypothetical protein
VOG26646	2	2	Xu	REFSEQ hypothetical protein
VOG26647	2	2	Xu	REFSEQ hypothetical protein
VOG26648	2	2	Xu	REFSEQ hypothetical protein
VOG26649	2	2	Xu	REFSEQ hypothetical protein
VOG26650	2	2	Xu	REFSEQ pyridoxamine 5'-phosphate oxidase family protein
VOG26651	2	2	Xu	REFSEQ hypothetical protein
VOG26652	2	2	Xu	REFSEQ hypothetical protein
VOG26653	2	2	Xu	REFSEQ hypothetical protein
VOG26654	2	2	Xu	REFSEQ hypothetical protein
VOG26655	2	2	Xu	REFSEQ hypothetical protein
VOG26656	2	2	Xu	REFSEQ hypothetical protein
VOG26657	2	2	Xu	REFSEQ hypothetical protein
VOG26658	2	2	Xu	REFSEQ hypothetical protein
VOG26659	2	2	Xu	REFSEQ hypothetical protein
VOG26660	2	2	Xu	REFSEQ hypothetical protein
VOG26661	2	2	Xu	REFSEQ hypothetical protein
VOG26662	2	2	Xu	REFSEQ hypothetical protein
VOG26663	2	2	Xu	REFSEQ hypothetical protein
VOG26664	2	2	Xu	REFSEQ hypothetical protein
VOG26665	2	2	Xu	REFSEQ hypothetical protein
VOG26666	2	2	Xu	REFSEQ hypothetical protein
VOG26667	2	2	Xu	REFSEQ hypothetical protein
VOG26668	2	2	Xu	REFSEQ holin
VOG26669	2	2	Xu	REFSEQ hypothetical protein
VOG26670	2	2	Xu	REFSEQ hypothetical protein
VOG26671	2	2	Xu	REFSEQ hypothetical protein
VOG26672	2	2	Xu	REFSEQ hypothetical protein
VOG26673	2	2	Xu	REFSEQ hypothetical protein
VOG26674	2	2	Xu	REFSEQ leader
VOG26675	2	2	Xu	REFSEQ hypothetical protein
VOG26676	2	2	Xu	REFSEQ hypothetical protein
VOG26677	2	2	Xu	REFSEQ hypothetical protein
VOG26678	2	2	Xu	REFSEQ hypothetical protein
VOG26679	2	2	Xu	REFSEQ 005R
VOG26680	2	2	Xu	sp|Q91G63|034R_IIV6 Uncharacterized protein 034R
VOG26681	4	2	Xu	sp|Q91G57|041L_IIV6 Uncharacterized protein 041L
VOG26682	2	2	Xu	sp|Q91G55|043L_IIV6 Uncharacterized protein 043L
VOG26683	3	2	Xu	sp|Q91G56|042R_IIV6 Uncharacterized protein 042R
VOG26684	2	2	Xu	sp|O55710|071L_IIV6 Uncharacterized protein 071L
VOG26685	2	2	Xu	sp|O55719|096L_IIV6 Putative FAS1 domain-containing protein 096L
VOG26686	2	2	Xu	sp|O55726|110R_IIV6 Uncharacterized protein 110R
VOG26687	2	2	Xu	sp|O55731|116L_IIV6 Uncharacterized protein 116L
VOG26688	2	2	Xu	sp|O55738|126R_IIV6 Uncharacterized protein 126R
VOG26689	2	2	Xu	sp|Q91FX0|200R_IIV6 Putative MSV199 domain-containing protein 200R
VOG26690	2	2	Xu	sp|Q91FW4|206L_IIV6 Uncharacterized protein 206L
VOG26691	2	2	Xu	sp|Q91FS6|246L_IIV6 Uncharacterized protein 246L
VOG26692	2	2	Xu	sp|Q91FS3|249R_IIV6 Uncharacterized protein 249R
VOG26693	2	2	Xu	sp|Q91FR9|253L_IIV6 Uncharacterized protein 253L
VOG26694	2	2	Xu	sp|Q91FL8|VF306_IIV6 Putative SWIB domain-containing protein 306R
VOG26695	2	2	Xu	REFSEQ 344R
VOG26696	2	2	Xu	sp|Q91FH6|348R_IIV6 Uncharacterized protein 348R
VOG26697	2	2	Xu	sp|Q91FF8|366R_IIV6 Uncharacterized protein 366R
VOG26698	2	2	Xu	REFSEQ 370R
VOG26699	2	2	Xu	sp|Q91FD9|385L_IIV6 Uncharacterized protein 385L
VOG26700	2	2	Xu	sp|Q91FA2|423L_IIV6 Uncharacterized protein 423L
VOG26701	2	2	Xu	sp|Q91F75|451L_IIV6 Uncharacterized protein 451L
VOG26702	2	2	Xu	sp|Q91F60|VF466_IIV6 Uncharacterized protein 466R
VOG26703	2	2	Xu	REFSEQ V2
VOG26704	2	2	Xr	sp|Q84709|P0_PEMVW Suppressor of silencing P0
VOG26705	2	2	Xu	REFSEQ hypothetical protein
VOG26706	4	2	Xu	REFSEQ hypothetical protein
VOG26707	4	2	Xu	REFSEQ hypothetical protein
VOG26708	4	2	Xu	REFSEQ hypothetical protein
VOG26709	4	2	Xu	REFSEQ hypothetical protein
VOG26710	2	2	Xu	REFSEQ hypothetical protein
VOG26711	2	2	Xu	REFSEQ hypothetical protein
VOG26712	2	2	Xu	REFSEQ hypothetical protein
VOG26713	2	2	Xu	REFSEQ hypothetical protein
VOG26714	2	2	Xu	REFSEQ hypothetical protein
VOG26715	2	2	Xu	REFSEQ hypothetical protein
VOG26716	2	2	Xu	REFSEQ HTH DNA binding domain protein
VOG26717	2	2	Xu	REFSEQ hypothetical protein
VOG26718	2	2	Xu	REFSEQ hypothetical protein
VOG26719	2	2	Xu	REFSEQ minor tail protein
VOG26720	2	2	Xu	REFSEQ hypothetical protein
VOG26721	2	2	Xu	REFSEQ hypothetical protein
VOG26722	2	2	Xu	REFSEQ hypothetical protein
VOG26723	2	2	Xu	REFSEQ hypothetical protein
VOG26724	2	2	Xu	REFSEQ hypothetical protein
VOG26725	2	2	Xu	REFSEQ hypothetical protein
VOG26726	2	2	Xu	REFSEQ transposase
VOG26727	2	2	Xu	REFSEQ hypothetical protein
VOG26728	2	2	Xu	REFSEQ hypothetical protein
VOG26729	2	2	Xu	REFSEQ hypothetical protein
VOG26730	2	2	Xu	REFSEQ hypothetical protein
VOG26731	2	2	Xu	REFSEQ hypothetical protein
VOG26732	2	2	Xu	REFSEQ HTH DNA binding protein
VOG26733	2	2	Xu	REFSEQ hypothetical protein
VOG26734	2	2	Xu	REFSEQ hypothetical protein
VOG26735	2	2	Xu	REFSEQ hypothetical protein
VOG26736	2	2	Xu	REFSEQ hypothetical protein
VOG26737	2	2	Xu	REFSEQ hypothetical protein
VOG26738	2	2	Xu	REFSEQ hypothetical protein
VOG26739	2	2	Xu	REFSEQ hypothetical protein
VOG26740	2	2	Xu	REFSEQ hypothetical protein
